ISO3,Country,Dataset,Source,Type,TypeDetail,Access,TemporalStart,TemporalEnd,Frequency,Coverage,URL,Resolution,Quality,Notes,APIAvailable,Origins
ARE,United Arab Emirates,UAE National Land Use Data,Ministry of Energy and Infrastructure (MOEI) / Emirates authorities,Land Cover / Land Use,,Restricted (requires formal request through MOEI or emirate SDI portals),Current,,Irregular,Variable by emirate,https://opendata.moei.gov.ae,Variable by emirate,3,,Limited (portal-based access),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE National Road Network,Ministry of Energy and Infrastructure,Infrastructure - Roads,,Restricted (requires formal data request),Current,,Continuous,National standard,https://opendata.moei.gov.ae,National standard,3,,Possible through MOEI Open Data Portal,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Protected Areas,Ministry of Climate Change and Environment (MOCCAE) / Environment Agency Abu Dhabi,Protected Areas / Environmental,,Restricted/Open (some data via MOCCAE Open Data),Current,,As designations change,High resolution (polygon boundaries),https://www.moccae.gov.ae/en/open-data/moccae-open-data,High resolution (polygon boundaries),3,,Limited,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Railway Network,Ministry of Energy and Infrastructure / Etihad Rail,Infrastructure - Railways,,Restricted (requires formal request),Current (network under expansion),,Updated as construction progresses,Engineering grade,,Engineering grade,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,UAE Road and Aviation Development Plans,Ministry of Energy and Infrastructure / Civil Aviation Authority,Additional datasets for UAE,,Restricted (project coordination required),Future planning horizons,,As plans are updated,Project-specific,https://www.moei.gov.ae/,Project-specific,3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,USGS Arabian Peninsula Geology,U.S. Geological Survey,Geology / Soil,,Open/Free,2000,,Static,"Regional scale (1:2,000,000+)",https://certmapper.cr.usgs.gov/data/apps/world-maps/,"Regional scale (1:2,000,000+)",3,,No,TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,World Database on Protected Areas,UNEP-WCMC and IUCN,Protected Areas / Environmental,,Open/Free (with some restrictions on commercial use),Current (updated monthly),,Monthly,Polygon boundaries,https://www.protectedplanet.net/en/country/ARE,Polygon boundaries,4,,Yes (available through Google Earth Engine and IBAT),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,WorldClim v2,WorldClim project (University of California),Climate / Weather,,Open/Free,Historical averages (1970-2000) and future scenarios,,Static climatologies,30 arc-seconds (~1 km at equator),https://www.worldclim.org/,30 arc-seconds (~1 km at equator),4,,No (direct download),TIER1_BEST_DATASETS.csv
ARE,United Arab Emirates,WorldPop UAE,WorldPop / University of Southampton,Population / Demographics,,Open/Free,2000-2020 (annual),,Annual releases,High-resolution gridded population estimates; 100m version is building-footprint constrained; Random Forests methodology; UN-adjusted totals; excellent for spatial population distribution analysis; preferred global dataset for UAE[47][48][49][50],https://hub.worldpop.org/,,5,,Yes (WorldPop API),TIER1_BEST_DATASETS.csv
AUS,Australia,Elvis (Elevation Information System),Geoscience Australia,Raster DTM/DSM (1-5m LiDAR-derived),,Open (CC BY 4.0),2010,Present,Continuous expansion,Available,https://elevation.fsdf.org.au/,,,,,COUNTRY_COVERAGE_LONG.csv
AUT,Austria,DTM Austria,BEV (Federal Office of Metrology and Surveying),Raster DTM (1m),,Open/Commercial varies,2010,Present,Ongoing,Available,https://www.bev.gv.at/,,,,,COUNTRY_COVERAGE_LONG.csv
BHR,Bahrain,AB4 Pipeline,BAPCO / Saudi Aramco,INFRASTRUCTURE - PIPELINES,,Restricted,Operational since November 2018,,,"Major international crude oil pipeline; replaced older 230,000 bpd link; must be considered in routing analysis for setback requirements[24][23]",,,3,,,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Airbus Defence and Space,Airbus Defence and Space,SATELLITE IMAGERY,,Commercial license required,Archive from 2011-present; tasking available,,On-demand tasking,Very high quality; competitive with Maxar; Pléiades Neo constellation (4 satellites) provides 50cm resolution; excellent for detailed engineering; good alternative to Maxar with strong coverage in Middle East[55][54],https://www.intelligence-airbusds.com/,Very high quality; competitive with Maxar; Pléiades Neo constellation (4 satellites) provides 50cm resolution; excellent for detailed engineering; good alternative to Maxar with strong coverage in Middle East[55][54],3,,Yes - OneAtlas API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Al Areen Wildlife Park and Reserve,,PROTECTED AREAS / ENVIRONMENTAL,,Law-designated protected area; restricted access except for researchers,,,,,,,3,,,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Arabian Plate Seismicity - Regional Context,USGS / Regional seismic networks,SPECIAL DATASETS FOR BAHRAIN,,Global seismic hazard maps freely available,,,,Seismic design considerations minimal for Bahrain; regional seismic data adequate; no national seismic network or specific hazard maps needed for Bahrain[59],https://earthquake.usgs.gov/,,3,,,TIER1_BEST_DATASETS.csv
BHR,Bahrain,ASTER GDEM Version 3,NASA/METI (Japan),ELEVATION/TERRAIN (DEM),,Open/Free,2000-2013 composite,,Static (Version 3 released 2019),Lower accuracy than SRTM and Copernicus DEM; significant artifacts and noise; not recommended for precision pipeline routing[3][2],https://earthdata.nasa.gov/,,2,,Yes - NASA Earthdata API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Bahrain Authority for Culture and Antiquities - Archaeological Sites Register,Bahrain Authority for Culture and Antiquities (BACA),SPECIAL DATASETS FOR BAHRAIN,,Restricted - requires consultation with BACA for project planning,,,,"Essential for pipeline routing; thousands of archaeological sites including burial mounds, tells, settlement sites; rescue archaeology protocols required; consultation mandatory for infrastructure projects[58]",,,3,,,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Bahrain Meteorological Directorate,"Official national source; includes temperature, rainfall (average ~70mm/year), humidity, wind, sandstorms; essential for pipeline design parameters (extreme temperatures, corrosion rates); arid climate data critical[37][15]",CLIMATE / WEATHER,,Some data publicly available; detailed data requires request,Historical records (1950s-present) and real-time data,,"Real-time observations, daily forecasts",Point stations and national forecasts,,Point stations and national forecasts,3,,Limited web services,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Bahrain Note on Surface Water,National environmental agencies,HYDROLOGY / WATER,,,,,,"Any ""hydrography"" data for Bahrain is limited to wadis (dry valleys), coastal features, and man-made water infrastructure (pipelines, treatment plants)[15][16]",,,3,,,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Bahrain Open Data Portal - Road Network Length,Information & eGovernment Authority,INFRASTRUCTURE - ROADS,,Open/Free,2021-2022,,Annual,"Statistical data (surfaced roads: 4,543 km; unsurfaced: 730 km as of 2022)",https://www.data.gov.bh/,"Statistical data (surfaced roads: 4,543 km; unsurfaced: 730 km as of 2022)",3,,Yes - CKAN-based API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Bahrain Spatial Data Infrastructure (BSDI) Land Use Layers,Central Informatics Organisation (CIO) - GIS Directorate,LAND COVER / LAND USE,,Restricted - available to government agencies and authorized organizations (30+ organizations currently use BSDI),Current (regularly updated),,Continuous updates through as-built surveys,"Vector data derived from 1:1,000 national mapping",https://www.bsdi.gov.bh,"Vector data derived from 1:1,000 national mapping",5,,No public API (internal government portal only),TIER1_BEST_DATASETS.csv
BHR,Bahrain,Bahrain Surface Materials Resources Survey (1975-76),UK Military Survey / Geological Survey (historical cooperation),GEOLOGY / SOIL,,Accessible through Digital Maps Archive of Bahrain / SLRB,1975-1976 field surveys,,Static historical dataset,"1:10,000 scale geology and soil maps",https://mapbh.org/en/,"1:10,000 scale geology and soil maps",3,,No,TIER1_BEST_DATASETS.csv
BHR,Bahrain,BAPCO (Bahrain Petroleum Company) Pipeline Infrastructure Data,"Authoritative source for oil and gas pipeline locations; includes AB4 crude oil pipeline (118 km, 30-inch, 400,000 bpd capacity connecting Sitra Refinery to Saudi Aramco's Abqaiq plant); critical for conflict avoidance in new pipeline routing[23][24][25]",INFRASTRUCTURE - PIPELINES,,https://www.bapcoenergies.com/ (contact for data access),Current operational pipelines,,Updated with new construction and modifications,Engineering-grade precision (as-built drawings),,Engineering-grade precision (as-built drawings),3,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,BSDI Administrative Boundaries,Central Informatics Organisation / Survey and Land Registration Bureau,ADMINISTRATIVE BOUNDARIES,,Restricted - through BSDI Portal for authorized users,Current (governorate boundaries updated as needed),,Updated with administrative changes,Vector polygons at national mapping accuracy,https://www.bsdi.gov.bh,Vector polygons at national mapping accuracy,3,,"Official national boundaries; includes 4 governorates (Northern, Southern, Muharraq, Capital); highest authority for administrative boundaries; essential for regulatory compliance[5][6][7]",TIER1_BEST_DATASETS.csv
BHR,Bahrain,BSDI Electricity & Water Transmission and Distribution,Central Informatics Organisation / Electricity & Water Authority (EWA),"INFRASTRUCTURE - UTILITIES (Power, Telecom)",,Restricted - available to government and authorized utilities organizations,Current,,Continuous updates from EWA and as-built surveys,Vector data with precise infrastructure locations,https://www.bsdi.gov.bh,Vector data with precise infrastructure locations,3,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,BSDI Gas & Oil Pipelines Layer,Central Informatics Organisation / Bahrain Petroleum Company (BAPCO) / nogaholding,INFRASTRUCTURE - PIPELINES,,Restricted - highly sensitive infrastructure data; available only to authorized government agencies and oil/gas operators,Current,,Continuous updates from operators and as-built surveys,Vector data with precise pipeline locations,https://www.bsdi.gov.bh,Vector data with precise pipeline locations,3,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,BSDI Road Network,Central Informatics Organisation / Survey and Land Registration Bureau,INFRASTRUCTURE - ROADS,,No public API (internal BSDI portal access only),Current (continuously updated),,"Real-time updates from as-built surveys, Ministry of Transportation, and traffic management systems","Vector data at 1:1,000 mapping accuracy",https://www.bahrain.bh/wps/portal/en/BNP/ExploreBahrain/GeographicInformationSystems,"Vector data at 1:1,000 mapping accuracy",5,,,TIER1_BEST_DATASETS.csv
BHR,Bahrain,BSDI Telecommunications Infrastructure,Central Informatics Organisation / Telecommunications operators,"INFRASTRUCTURE - UTILITIES (Power, Telecom)",,Restricted,Current,,Continuous,Vector data,https://www.bsdi.gov.bh,Vector data,3,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,BSDI Water Infrastructure Layers,Central Informatics Organisation - BSDI Portal,HYDROLOGY / WATER,,Restricted to authorized organizations,Current,,Continuous,Vector data (precise infrastructure locations),https://www.bsdi.gov.bh,Vector data (precise infrastructure locations),3,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Copernicus Climate Change Service (C3S) Data,"Comprehensive climate data portal; includes ERA5, seasonal forecasts, climate projections; excellent resource for environmental impact assessment[39]",CLIMATE / WEATHER,,Open/Free,Historical and forecasts,,Continuous,Variable (multiple products),https://climate.copernicus.eu/,Variable (multiple products),3,,Yes - CDS API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Copernicus DEM GLO-30,European Space Agency / Copernicus Programme,ELEVATION/TERRAIN (DEM),,Open/Free,2010-2015 (based on TanDEM-X/WorldDEM),,Static product (no regular updates planned),30m (GLO-30 / 1 arc-second),https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,30m (GLO-30 / 1 arc-second),3,,Yes - via Copernicus Data Space Ecosystem API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,Copernicus DEM GLO-90,European Space Agency / Copernicus Programme,ELEVATION/TERRAIN (DEM),,Open/Free,2010-2015,,Static product,90m (GLO-90 / 3 arc-seconds),https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,90m (GLO-90 / 3 arc-seconds),3,,Yes - via Copernicus Data Space Ecosystem API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,DEM-2.5,Survey and Land Registration Bureau (SLRB),ELEVATION/TERRAIN (DEM),,Restricted - requires formal request from SLRB,Based on national mapping program (ongoing updates),,Updated through as-built surveys and UAV captures,"Excellent accuracy (±0.55m RMSE), best available for Bahrain; derived from high-quality national topographic mapping at 1:1,000 base scale with 137 surface feature types[1][2]",https://www.slrb.gov.bh/en/,,5,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,DEM-5,Survey and Land Registration Bureau (SLRB),ELEVATION/TERRAIN (DEM),,Restricted - requires formal request from SLRB,Historical national mapping,,Periodic updates,Very good accuracy (±1.0m RMSE); suitable for regional analysis[2],https://www.slrb.gov.bh/en/,,4,,No public API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,ERA5 Reanalysis,European Centre for Medium-Range Weather Forecasts (ECMWF) / Copernicus Climate Change Service,CLIMATE / WEATHER,,Open/Free,January 1940-present (1991-2020 current climatology),,Continuous (hourly data with ~5-day lag),"31 km grid (0.25° x 0.25°), 137 vertical levels",,"31 km grid (0.25° x 0.25°), 137 vertical levels",3,,Yes - CDS API (Climate Data Store),TIER1_BEST_DATASETS.csv
BHR,Bahrain,ESA WorldCover 2021,European Space Agency (ESA WorldCover Consortium),LAND COVER / LAND USE,,Open/Free (CC-BY-4.0 license),2021 (2020 version also available),,Annual updates planned,Excellent quality with 11 land cover classes; highest resolution global land cover product; derived from Sentinel-1 radar and Sentinel-2 optical data; highly accurate for Bahrain's desert and urban environments[8][9][10][11],https://esa-worldcover.org,Excellent quality with 11 land cover classes; highest resolution global land cover product; derived from Sentinel-1 radar and Sentinel-2 optical data; highly accurate for Bahrain's desert and urban environments[8][9][10][11],3,,"Yes - WMS/WMTS services, Google Earth Engine API",TIER1_BEST_DATASETS.csv
BHR,Bahrain,Esri Sentinel-2 Land Use/Land Cover (10m Global),Esri / Impact Observatory,LAND COVER / LAND USE,,Free for non-commercial use,Good temporal continuity; useful for change detection; 9-class system; complementary to ESA WorldCover[12][13],,Annual,10m resolution,https://livingatlas.arcgis.com/landcoverexplorer/,10m resolution,3,,Yes - ArcGIS Living Atlas API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,FAO Harmonized World Soil Database,FAO / IIASA,GEOLOGY / SOIL,,Open/Free,Composite (based on various national surveys),,Version 1.2 (2012) - static,"Coarse resolution; suitable for regional context only; national 1:10,000 soil maps far superior for pipeline routing in Bahrain[31]",https://www.fao.org/soils-portal/,"Coarse resolution; suitable for regional context only; national 1:10,000 soil maps far superior for pipeline routing in Bahrain[31]",3,,No dedicated API,TIER1_BEST_DATASETS.csv
BHR,Bahrain,GADM,"Good global coverage; includes Bahrain governorate and sub-governorate boundaries; adequate for general use but verify against national sources for regulatory purposes; includes ADM0 (country), ADM1 (governorates), ADM2 (municipalities)[42]",ADMINISTRATIVE BOUNDARIES,,Open/Free (academic use; commercial license required for commercial use),Version 4.1 (2022),,Periodic version releases,Vector polygons (multiple administrative levels),https://gadm.org/,Vector polygons (multiple administrative levels),3,,No - direct download only,TIER1_BEST_DATASETS.csv
